[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
動物,全,書,機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder brother,laugh,-en,one,laugh,after,say,#,#,this,(measure),is,#,okapi,#,#,have,people,say,it,is,zebra,and,giraffe,together,give birth,(linker),baby,#,afterwards,then,know,it,is,giraffe,’s,close relative,#,#,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢,次,到我,喇,！,」,阿寶,未,講,完,就,入,咗,張,相,落去,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei1,ci3,dou3-ngo5,laa3,#,#,aa3-bou2,mei6,gong2,jyun4,zau6,jap6,zo2,zoeng1,soeng2,lok6-heoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,this,time,my turn,already,#,#,Ah-Bo,not yet,say,finish,then,insert,-en,(measure),photograph,down to,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,又,係,你,——,」,一,隻,藍色,腳,嘅,雀仔,出,咗,嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jau6,hai6,nei5,#,#,jat1,zek3,laam4-sik1,goek3,ge3,zoek3-zai2,ceot1,zo2,lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,again,is,you,#,#,one,(measure),blue,leg,(linker),bird,out,-en,come,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,呢,隻,我,識,喎,，,老師,噚日,有,講,過,，,係,『,藍腳鰹鳥,』,。,佢哋,追,女仔,嗰陣,係,會,跳舞,㗎,！,」,阿思,笑,住,話,。,,,,,,,,,,,,,,,,,,,,,,
#,nei1,zek3,ngo5,sik1,wo3,#,lou5-si1,cam4-jat6,jau5,gong2,gwo3,#,hai6,#,laam4-goek3-gin1-niu5,#,#,keoi5-dei6,zeoi1,neoi5-zai2,go2-zan2,hai6,wui5,tiu3-mou5,gaa3,#,#,aa3-si1,siu3,zyu6,waa6,#,,,,,,,,,,,,,,,,,,,,,,
#,this,(measure),I,know,(particle),#,teacher,yesterday,have,say,-en,#,is,#,blue-footed booby,#,#,they,chase,female,that time,is,will,dance,(particle),#,#,Ah-Si,laugh,-ing,say,#,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,，,畫面,又,轉,咗,隻,新,動物,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,#,waa2-min2,jau6,zyun3,zo2,zek3,san1,dung6-mat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suddenly,#,frame,again,change,-en,(measure),new,animal,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Line 31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿貓,話,：,「,我,知,呢,隻,叫,『,奇異鳥,』,，,佢,好,懶,㗎,，,日日,瞓,廿,個鐘,。,不過,依家,再,見,唔到,佢哋,喇,，,冇,晒,喇,！,」,,,,,,,,,,,,,,,,,,,
